device_id,event_id,event_timestamp,feedback_status,firmware_version,free_heap_kb,human_label,max,mean,min,model_version,prediction,priority,received_at_utc,rssi,sampling_rate,score,signal_window,source,std,threshold,tinyml_mode,window_size
esp32_001,evt_5d8fdc6f9e82,2026-06-12T01:13:08.791282+00:00,pending_review,1.0.0,238.1757813,,1.585999966,-0.082999997,-1.383999944,seismic_edge_v1_tiny_tcn_20260610,normal,low_priority,2026-06-12T01:13:08.791300+00:00,-42,40.0,0.393999994,,esp32_platformio_physical_test,1.141000032,0.5,simulated_inference,800
esp8266_001,evt_6498217bb82f,2026-06-12T14:45:04.208570+00:00,pending_review,fw_1.0.0,45.5234375,,1.878999949,0.155000001,-2.210000038,unknown,normal,high_normal,2026-06-12T14:45:04.208601+00:00,-65,40.0,0.127000004,,esp8266_platformio_physical_test,1.332000017,0.5,simulated_inference,800
esp8266_001,evt_66403977a35f,2026-06-12T14:25:53.848950+00:00,pending_review,fw_1.0.0,45.9375,,3.118000031,0.064000003,-3.453000069,unknown,normal,low_priority,2026-06-12T14:25:53.848960+00:00,-65,40.0,0.354000002,,esp8266_platformio_physical_test,1.588000059,0.5,simulated_inference,800
esp32_001,evt_68e7b286f42e,2026-06-12T01:11:49.808720+00:00,pending_review,1.0.0,237.7890625,,1.235000014,-0.108000003,-2.34100008,seismic_edge_v1_tiny_tcn_20260610,uncertain,uncertain,2026-06-12T01:11:49.808753+00:00,-49,40.0,0.486999989,,esp32_platformio_physical_test,0.851999998,0.5,simulated_inference,800
esp8266_001,evt_69dc3807fa6f,2026-06-12T14:44:54.190555+00:00,pending_review,fw_1.0.0,45.5234375,,1.633000016,0.186000004,-1.557000041,unknown,uncertain,uncertain,2026-06-12T14:44:54.190582+00:00,-61,40.0,0.56099999,,esp8266_platformio_physical_test,1.952000022,0.5,simulated_inference,800
esp32_001,evt_740e87643bbe,2026-06-12T01:12:38.633022+00:00,pending_review,1.0.0,238.6601563,,1.26699996,0.129999995,-1.416000009,seismic_edge_v1_tiny_tcn_20260610,uncertain,uncertain,2026-06-12T01:12:38.633036+00:00,-37,40.0,0.501999974,,esp32_platformio_physical_test,1.154000044,0.5,simulated_inference,800
esp8266_001,evt_750d387afdf9,2026-06-12T14:27:13.859955+00:00,pending_review,fw_1.0.0,45.9375,,2.450999975,-0.028000001,-2.704999924,unknown,uncertain,uncertain,2026-06-12T14:27:13.859966+00:00,-66,40.0,0.474999994,,esp8266_platformio_physical_test,1.470000029,0.5,simulated_inference,800
esp8266_001,evt_8b2de6903f1a,2026-06-12T14:25:03.091253+00:00,pending_review,fw_1.0.0,45.9375,,2.431999922,0.197999999,-1.929999948,unknown,normal,high_normal,2026-06-12T14:25:03.091265+00:00,-62,40.0,0.191,,esp8266_platformio_physical_test,1.417999983,0.5,simulated_inference,800
esp8266_001,evt_8bd57aecfdd7,2026-06-12T14:43:34.149206+00:00,pending_review,fw_1.0.0,45.3359375,,1.542000055,0.128000006,-2.803999901,unknown,normal,low_priority,2026-06-12T14:43:34.149232+00:00,-67,40.0,0.349000007,,esp8266_platformio_physical_test,1.876999974,0.5,simulated_inference,800
esp8266_001,evt_92147e2241cb,2026-06-12T14:43:24.399994+00:00,pending_review,fw_1.0.0,45.3359375,,2.536999941,-0.037999999,-2.069999933,unknown,normal,high_normal,2026-06-12T14:43:24.400013+00:00,-66,40.0,0.187000006,,esp8266_platformio_physical_test,1.031000018,0.5,simulated_inference,800
esp8266_001,evt_9218f5f30e08,2026-06-12T14:26:13.852014+00:00,pending_review,fw_1.0.0,45.9375,,2.049999952,-0.145999998,-2.757999897,unknown,normal,low_priority,2026-06-12T14:26:13.852026+00:00,-67,40.0,0.639999986,,esp8266_platformio_physical_test,1.355000019,0.5,simulated_inference,800
esp32_001,evt_92ce0dd5ece4,2026-06-12T01:12:49.520911+00:00,pending_review,1.0.0,238.640625,,3.532999992,0.055,-3.128999949,seismic_edge_v1_tiny_tcn_20260610,normal,high_normal,2026-06-12T01:12:49.520924+00:00,-38,40.0,0.166999996,,esp32_platformio_physical_test,1.208999991,0.5,simulated_inference,800
esp8266_001,evt_9a04889b1d72,2026-06-12T14:43:16.860765+00:00,pending_review,fw_1.0.0,45.5234375,,3.483999968,-0.145999998,-2.622999907,unknown,normal,high_normal,2026-06-12T14:43:16.860786+00:00,-68,40.0,0.066,,esp8266_platformio_physical_test,0.847000003,0.5,simulated_inference,800
esp8266_001,evt_9b4a3d6a0e9e,2026-06-12T14:44:24.185835+00:00,pending_review,fw_1.0.0,45.3359375,,2.823999882,-0.170000002,-3.970999956,unknown,normal,low_priority,2026-06-12T14:44:24.185846+00:00,-63,40.0,0.323000014,,esp8266_platformio_physical_test,1.542999983,0.5,simulated_inference,800
esp8266_001,evt_a21a2571197b,2026-06-12T14:25:23.855600+00:00,pending_review,fw_1.0.0,45.6171875,,1.335999966,-0.014,-1.76699996,unknown,uncertain,uncertain,2026-06-12T14:25:23.855611+00:00,-63,40.0,0.598999977,,esp8266_platformio_physical_test,0.665000021,0.5,simulated_inference,800
esp8266_001,evt_a753d10eaf65,2026-06-12T14:26:33.849330+00:00,pending_review,fw_1.0.0,45.75,,1.937999964,0.030999999,-0.89200002,unknown,anomaly,low_priority,2026-06-12T14:26:33.849348+00:00,-65,40.0,0.709999979,,esp8266_platformio_physical_test,0.864000022,0.5,simulated_inference,800
esp8266_001,evt_aa9f88ee7319,2026-06-12T14:26:03.833229+00:00,pending_review,fw_1.0.0,45.9375,,2.309000015,0.077,-2.812999964,unknown,normal,high_normal,2026-06-12T14:26:03.833241+00:00,-60,40.0,0.041000001,,esp8266_platformio_physical_test,1.15199995,0.5,simulated_inference,800
esp8266_001,evt_b3a40815d563,2026-06-12T14:43:44.166113+00:00,pending_review,fw_1.0.0,45.3359375,,3.97300005,-0.030999999,-1.13499999,unknown,anomaly,high_anomaly,2026-06-12T14:43:44.166126+00:00,-66,40.0,0.976999998,,esp8266_platformio_physical_test,1.261999965,0.5,simulated_inference,800
esp32_001,evt_b7797aef0388,2026-06-12T01:12:08.924020+00:00,pending_review,1.0.0,240.4921875,,3.368999958,-0.004,-2.282999992,seismic_edge_v1_tiny_tcn_20260610,normal,low_priority,2026-06-12T01:12:08.924036+00:00,-44,40.0,0.25999999,,esp32_platformio_physical_test,1.230000019,0.5,simulated_inference,800
esp8266_001,evt_baedcb2f9784,2026-06-12T14:26:46.364237+00:00,pending_review,fw_1.0.0,45.9375,,1.967000008,0.188999996,-3.480000019,unknown,normal,high_normal,2026-06-12T14:26:46.364250+00:00,-68,40.0,0.013,,esp8266_platformio_physical_test,1.440000057,0.5,simulated_inference,800
esp32_001,evt_bd74745093ee,2026-06-12T01:12:59.159349+00:00,pending_review,1.0.0,238.203125,,2.657999992,-0.021,-0.954999983,seismic_edge_v1_tiny_tcn_20260610,uncertain,uncertain,2026-06-12T01:12:59.159362+00:00,-41,40.0,0.523999989,,esp32_platformio_physical_test,0.523000002,0.5,simulated_inference,800
esp8266_001,evt_be98b9741b2e,2026-06-12T14:26:53.851135+00:00,pending_review,fw_1.0.0,45.9375,,3.864000082,0.061999999,-3.24000001,unknown,uncertain,uncertain,2026-06-12T14:26:53.851144+00:00,-62,40.0,0.598999977,,esp8266_platformio_physical_test,1.914999962,0.5,simulated_inference,800
esp8266_001,evt_c1f8403c089b,2026-06-12T14:24:53.079832+00:00,pending_review,fw_1.0.0,45.9375,,2.785000086,0.024,-2.176000118,unknown,uncertain,uncertain,2026-06-12T14:24:53.079848+00:00,-64,40.0,0.430999994,,esp8266_platformio_physical_test,0.523000002,0.5,simulated_inference,800
esp8266_001,evt_c4661504a1ce,2026-06-12T14:43:54.275784+00:00,pending_review,fw_1.0.0,45.3359375,,3.892999887,-0.115999997,-3.174999952,unknown,anomaly,high_anomaly,2026-06-12T14:43:54.275797+00:00,-66,40.0,0.888999999,,esp8266_platformio_physical_test,1.067999959,0.5,simulated_inference,800
esp32_001,evt_d481f59ccbbc,2026-06-12T01:12:19.401237+00:00,pending_review,1.0.0,240.140625,,0.887000024,0.135000005,-3.572000027,seismic_edge_v1_tiny_tcn_20260610,anomaly,high_anomaly,2026-06-12T01:12:19.401250+00:00,-36,40.0,0.850000024,,esp32_platformio_physical_test,0.616999984,0.5,simulated_inference,800
esp32_001,evt_d67c0ebfbe97,2026-06-12T01:12:29.042031+00:00,pending_review,1.0.0,239.7148438,,0.873000026,0.108999997,-2.565999985,seismic_edge_v1_tiny_tcn_20260610,normal,low_priority,2026-06-12T01:12:29.042041+00:00,-35,40.0,0.363000005,,esp32_platformio_physical_test,1.037999988,0.5,simulated_inference,800
esp8266_001,evt_daae83da8c12,2026-06-12T14:26:23.836223+00:00,pending_review,fw_1.0.0,45.9375,,2.443000078,-0.136000007,-1.940999985,unknown,uncertain,uncertain,2026-06-12T14:26:23.836236+00:00,-71,40.0,0.529999971,,esp8266_platformio_physical_test,1.52699995,0.5,simulated_inference,800
esp8266_001,evt_e1e405c6e170,2026-06-12T14:25:43.814732+00:00,pending_review,fw_1.0.0,45.9375,,1.870000005,-0.033,-2.753000021,unknown,anomaly,low_priority,2026-06-12T14:25:43.814746+00:00,-61,40.0,0.77700001,,esp8266_platformio_physical_test,1.758999944,0.5,simulated_inference,800
esp8266_001,evt_e5573d5e708a,2026-06-12T14:24:33.504524+00:00,pending_review,fw_1.0.0,45.9375,,2.931999922,-0.179000005,-3.34100008,unknown,uncertain,uncertain,2026-06-12T14:24:33.504536+00:00,-61,40.0,0.437000006,,esp8266_platformio_physical_test,1.819000006,0.5,simulated_inference,800
esp8266_001,evt_f0f64591949d,2026-06-12T14:45:24.399172+00:00,pending_review,fw_1.0.0,45.7109375,,1.434999943,-0.082000002,-1.037999988,unknown,normal,low_priority,2026-06-12T14:45:24.399183+00:00,-65,40.0,0.328000009,,esp8266_platformio_physical_test,0.638999999,0.5,simulated_inference,800
esp8266_001,evt_f672e4887dbf,2026-06-12T14:27:33.880054+00:00,pending_review,fw_1.0.0,45.9375,,1.911000013,0.050999999,-3.351000071,unknown,uncertain,uncertain,2026-06-12T14:27:33.880065+00:00,-64,40.0,0.486000001,,esp8266_platformio_physical_test,0.638999999,0.5,simulated_inference,800
esp8266_001,evt_fd41adccee4c,2026-06-12T14:25:33.818355+00:00,pending_review,fw_1.0.0,45.9375,,3.974999905,-0.194000006,-1.68599999,unknown,normal,low_priority,2026-06-12T14:25:33.818366+00:00,-63,40.0,0.694999993,,esp8266_platformio_physical_test,1.832999945,0.5,simulated_inference,800
